t,x,x_n,v_x,v_xn,a_x,a_xn,y,y_n,v_y,v_yn,a_y,a_yn
1.27,76.2,77.3672,60,55.7062,0,3.76456,55.659,58.7333,37.554,31.2232,-9.8,-18.1308
1.28,76.8,73.306,60,52.4739,0,0.781513,56.0346,52.6482,37.456,41.9229,-9.8,-10.5542
1.29,77.4,81.2105,60,61.7477,0,-12.3909,56.4091,47.4781,37.358,33.6933,-9.8,-14.6656
1.3,78,70.3786,60,62.3027,0,-1.91323,56.7827,53.1847,37.26,45.5538,-9.8,-10.4598
1.31,78.6,78.2802,60,53.0429,0,-2.91124,57.1553,52.7155,37.162,34.1183,-9.8,-5.35333
1.32,79.2,84.5553,60,66.6733,0,2.17367,57.5269,67.633,37.064,36.398,-9.8,-3.39596
1.33,79.8,82.7776,60,61.6083,0,-1.96706,57.8976,51.5332,36.966,38.2601,-9.8,-11.1221
1.34,80.4,86.2896,60,54.0256,0,-10.5495,58.2672,60.512,36.868,33.6414,-9.8,0.791798
1.35,81,89.8932,60,58.3642,0,0.0755925,58.6359,57.7279,36.77,33.7096,-9.8,-13.8798
1.36,81.6,90.7635,60,57.3509,0,-6.0827,59.0036,62.5356,36.672,30.7587,-9.8,-12.9725
1.37,82.2,84.8368,60,46.4799,0,-0.729277,59.3703,57.2753,36.574,37.4707,-9.8,-18.8981
1.38,82.8,77.3219,60,57.5894,0,-0.978104,59.7361,65.4079,36.476,39.8261,-9.8,-4.56379
1.39,83.4,81.7998,60,54.9383,0,-0.843904,60.1008,55.5437,36.378,36.8196,-9.8,-7.74295
1.4,84,81.7218,60,62.0236,0,-8.04391,60.4646,55.9729,36.28,24.2727,-9.8,-1.03578
1.41,84.6,82.0398,60,59.5503,0,-3.07279,60.8274,58.105,36.182,42.6303,-9.8,-6.95581
1.42,85.2,81.2757,60,59.6455,0,-11.6313,61.1892,56.0697,36.084,37.8139,-9.8,-4.09988
1.43,85.8,87.2653,60,53.1101,0,5.21367,61.5501,64.5171,35.986,33.4606,-9.8,-21.5432
1.44,86.4,85.4244,60,62.9652,0,0.0171669,61.9099,60.9436,35.888,31.5088,-9.8,-12.7894
1.45,87,90.7046,60,53.0824,0,6.5585,62.2688,57.8488,35.79,39.1631,-9.8,-11.748
1.46,87.6,90.4888,60,69.5999,0,2.22049,62.6267,63.2286,35.692,45.4673,-9.8,-14.5617
1.47,88.2,87.1759,60,63.197,0,-2.33208,62.9836,61.6138,35.594,40.1738,-9.8,-12.9789
1.48,88.8,84.7569,60,62.9579,0,1.66373,63.3396,66.6109,35.496,30.0544,-9.8,-7.4571
1.49,89.4,91.3148,60,64.0331,0,-8.6396,63.6945,65.5342,35.398,33.8034,-9.8,-8.28022
1.5,90,88.7093,60,58.1965,0,-0.733095,64.0485,69.638,35.3,46.4154,-9.8,-19.2077
1.51,90.6,90,60,62.4149,0,-2.30972,64.4015,62.1879,35.202,28.7215,-9.8,-13.3842
